mls,address,bld_sft,lot_sft,price,zip
17777272,"1211 Caroline Street PH2002, Houston, TX 77002",2433.0,0,1745000.0,77002
54714244,"1211 Caroline Street #1903, Houston, TX 77002",2579.0,0,1490000.0,77002
8077568,"915 Franklin Street 9F, Houston, TX 77002",2380.0,0,1170000.0,77002
43392628,"2000 Bagby Street #15400, Houston, TX 77002",2359.0,0,1100000.0,77002
64069960,"1211 Caroline st #1105, Houston, TX 77002",1235.0,0,650000.0,77002
33083163,"1211 Caroline Street #1005, Houston, TX 77002",1235.0,0,635000.0,77002
86715428,"914 Main Street #2204, Houston, TX 77002",2890.0,0,609000.0,77002
88139730,"919 Prairie Street 2A, Houston, TX 77002",1332.0,0,595000.0,77002
29849105,"1211 Caroline Street #1201, Houston, TX 77002",1393.0,0,530000.0,77002
41861910,"1211 Caroline Street #804, Houston, TX 77002",975.0,0,520000.0,77002
54475080,"204 Travis Street Street 4E, Houston, TX 77002",1868.0,0,519900.0,77002
64170091,"1211 Caroline Street #902, Houston, TX 77002",1122.0,0,519000.0,77002
30360986,"1211 Caroline Street #1103, Houston, TX 77002",1178.0,0,499900.0,77002
24122677,"1211 Caroline St #1701, Houston, TX 77002",1393.0,0,499000.0,77002
70136588,"1211 Caroline Street #1003, Houston, TX 77002",1178.0,0,495000.0,77002
91813153,"402 Hadley Street, Houston, TX 77002",2719.0,2340.0,485000.0,77002
50556115,"132 Pierce Street, Houston, TX 77002",2096.0,1629.0,485000.0,77002
12045066,"1211 Caroline Street #1009, Houston, TX 77002",1100.0,0,477500.0,77002
69010157,"705 Main Street #215, Houston, TX 77002",2300.0,0,469000.0,77002
17799724,"112 Pierce Street, Houston, TX 77002",2029.0,1743.0,469000.0,77002
20148424,"914 Main Street #801, Houston, TX 77002",2563.0,0,464900.0,77002
12434982,"1211 Caroline Street #803, Houston, TX 77002",938.0,0,450000.0,77002
5939959,"118 Pierce Street, Houston, TX 77002",2015.0,1446.0,449000.0,77002
78754941,"705 Main Street #704, Houston, TX 77002",1360.0,0,435000.0,77002
82343080,"914 Main Street #1212, Houston, TX 77002",2095.0,0,425000.0,77002
16595788,"2000 Bagby Street #9416, Houston, TX 77002",1884.0,0,404000.0,77002
58551451,"1211 Caroline Street #904, Houston, TX 77002",975.0,0,400000.0,77002
97496729,"1211 Caroline Street #1207, Houston, TX 77002",1001.0,0,399900.0,77002
80707095,"201 Main Street 6J, Houston, TX 77002",1791.0,0,391500.0,77002
73337488,"1211 Caroline Street #1107, Houston, TX 77002",1001.0,0,380000.0,77002
55084101,"914 Main St Street #1602, Houston, TX 77002",1874.0,0,375000.0,77002
48178864,"1700 Main Street 1A, Houston, TX 77002",1850.0,0,375000.0,77002
86292366,"705 Main Street #211, Houston, TX 77002",2165.0,0,369000.0,77002
15892962,"2000 Bagby #7424, Houston, TX 77002",1953.0,0,365000.0,77002
78213391,"2000 Bagby Street #9424, Houston, TX 77002",1884.0,0,365000.0,77002
17614304,"914 Main Street #1012, Houston, TX 77002",1706.0,0,350000.0,77002
59176991,"915 Franklin Street 2P, Houston, TX 77002",2009.0,0,350000.0,77002
94486173,"915 Franklin Street 9K, Houston, TX 77002",1100.0,0,350000.0,77002
94124351,"2000 Bagby Street #7441, Houston, TX 77002",1170.0,0,350000.0,77002
86261275,"2225 AUSTIN Street, Houston, TX 77002",0.0,0,349000.0,77002
21049661,"2000 Bagby Street #2401, Houston, TX 77002",1582.0,0,340000.0,77002
78174542,"2000 Bagby Street #9415, Houston, TX 77002",1282.0,0,339900.0,77002
30330696,"300 St Joseph Parkway #324, Houston, TX 77002",1544.0,0,329500.0,77002
67474576,"2016 Main Street #614, Houston, TX 77002",1586.0,0,325000.0,77002
86504299,"917 Main Street #604, Houston, TX 77002",1583.0,0,315000.0,77002
29670561,"201 Main Street 5E, Houston, TX 77002",1224.0,0,315000.0,77002
53003929,"1700 Main Street 6B, Houston, TX 77002",1665.0,0,315000.0,77002
84550667,"705 Main Street #807, Houston, TX 77002",1592.0,0,310000.0,77002
32206414,"1211 Caroline Street #1502, Houston, TX 77002",727.0,0,310000.0,77002
97886394,"300 St Joseph Parkway #318, Houston, TX 77002",1311.0,46875.0,309888.0,77002
46134309,"201 Main Street 5D, Houston, TX 77002",1117.0,0,309500.0,77002
18141767,"300 St Joseph Parkway #218, Houston, TX 77002",1311.0,0,299900.0,77002
95695731,"2016 Main Street #2122, Houston, TX 77002",1154.0,0,299000.0,77002
9648242,"1211 Caroline Street #1102, Houston, TX 77002",727.0,0,299000.0,77002
87034856,"201 Main Street 3G, Houston, TX 77002",1401.0,0,299000.0,77002
66786007,"2016 Main Street #2404, Houston, TX 77002",2036.0,0,295000.0,77002
75918122,"300 St Joseph Parkway #308, Houston, TX 77002",1208.0,0,294900.0,77002
19521212,"711 Main Street #502, Houston, TX 77002",1378.0,0,285000.0,77002
6793262,"917 Main Street #307, Houston, TX 77002",1296.0,0,285000.0,77002
94909236,"705 Main Street #210, Houston, TX 77002",1470.0,0,279000.0,77002
83235503,"2701 Main Street #1910, Houston, TX 77002",567.0,0,279000.0,77002
72763069,"705 Main Street #709, Houston, TX 77002",948.0,0,275000.0,77002
47195566,"2000 Bagby Street #7408, Houston, TX 77002",892.0,0,247000.0,77002
67809792,"705 Main Street #708, Houston, TX 77002",851.0,25054.0,225000.0,77002
64230852,"711 Main Street #303, Houston, TX 77002",1258.0,0,199900.0,77002
28458514,"915 Franklin Street 8B, Houston, TX 77002",886.0,0,198000.0,77002
87504304,"2016 Main Street #704, Houston, TX 77002",1169.0,0,188000.0,77002
71918384,"2016 Main Street #2313, Houston, TX 77002",809.0,0,185000.0,77002
74667065,"917 Main Street #1003, Houston, TX 77002",624.0,0,178000.0,77002
36138400,"1 Sterrett Street, Houston, TX 77002",0.0,0,175000.0,77002
55688190,"0 Sterrett Street, Houston, TX 77002",0.0,0,175000.0,77002
47025011,"705 Main Street #710, Houston, TX 77002",519.0,0,170000.0,77002
72200823,"2016 Main Street #2214, Houston, TX 77002",697.0,0,167707.0,77002
14575257,"2016 Main Street #2204, Houston, TX 77002",707.0,0,161000.0,77002
10156184,"2016 Main Street #1505, Houston, TX 77002",817.0,0,149000.0,77002
64447807,"0 Richey Street, Houston, TX 77002",0.0,0,125000.0,77002
2477892,"0 Walnut Street, Houston, TX 77002",0.0,0,125000.0,77002
17816738,"2016 Main Street #2209, Houston, TX 77002",283.0,0,120000.0,77002
90613502,"2016 Main St Street #1709, Houston, TX 77002",283.0,0,119900.0,77002
72103541,"209 Palmer Street, Houston, TX 77003",4111.0,4860.0,875000.0,77003
92183381,"2116 Live Oak Street, Houston, TX 77003",3660.0,5000.0,799000.0,77003
66785241,"2514 Mckinney Street, Houston, TX 77003",4032.0,5150.0,775000.0,77003
16929630,"2708 Capitol Street, Houston, TX 77003",3700.0,1739.0,665000.0,77003
90129736,"2433 Commerce Street, Houston, TX 77003",2668.0,2502.0,650000.0,77003
80383827,"3118 Engelke Street, Houston, TX 77003",1104.0,10000.0,650000.0,77003
22556803,"3805 Wilmer Street, Houston, TX 77003",3640.0,8740.0,650000.0,77003
18662284,"505 Bastrop Street #505, Houston, TX 77003",2314.0,0,595000.0,77003
49972356,"2755 Freund Street, Houston, TX 77003",2559.0,0,585000.0,77003
37259640,"2757 Freund Street, Houston, TX 77003",2167.0,0,579900.0,77003
84439107,"2751 Freund Street, Houston, TX 77003",2559.0,0,569000.0,77003
